Employment,Country,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,OpSys,Age,Gender,Sexuality,Ethnicity,ConvertedCompYearly
"Employed full-time",Egypt,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",5,2,"Developer, mobile","20 to 99 employees","EGP	Egyptian pound",7000,Monthly,C;C++;Dart;Java;JavaScript;Kotlin;Node.js;R,Dart;Java;Kotlin,Firebase;MySQL;Oracle;SQLite,Firebase;MySQL;Oracle,Heroku,AWS;Heroku,Linux-based,"25-34 years old",Man,"Prefer not to say","Middle Eastern",5388
"Employed full-time","United States of America","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",22,13,"Developer, full-stack;Engineering manager","100 to 499 employees","USD	United States dollar",115000,Yearly,Bash/Shell;C;C#;HTML/CSS;JavaScript;Node.js;Python,Bash/Shell;C;C#;HTML/CSS;JavaScript;Node.js;Python,NA,NA,AWS,AWS,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",115000
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",21,12,"Developer, front-end;Developer, full-stack;Developer, back-end","10,000 or more employees","USD	United States dollar",144000,Yearly,Bash/Shell;Go;Groovy;HTML/CSS;Java;JavaScript;Node.js;Python;TypeScript,HTML/CSS;Java;JavaScript;Node.js;TypeScript,Elasticsearch;MongoDB;SQLite,PostgreSQL,"AWS;Google Cloud Platform;Microsoft Azure",NA,Windows,"25-34 years old",Woman,"Prefer not to say","White or of European descent;Hispanic or Latino/a/x",144000
"Employed full-time","Viet Nam","Primary/elementary school",NA,NA,"Developer, full-stack;Database administrator;Developer, QA or test","500 to 999 employees","EUR European Euro",NA,Monthly,NA,NA,NA,NA,NA,NA,NA,"25-34 years old",Man,NA,NA,NA
"Employed full-time",Ireland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",14,4,"Developer, back-end;Developer, QA or test;Developer, embedded applications or devices","1,000 to 4,999 employees","EUR European Euro",5050,Monthly,C;Python;Rust,Crystal;Elixir;Rust,NA,NA,NA,NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",65508
"Employed full-time",Germany,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",31,21,"Developer, desktop or enterprise applications","20 to 99 employees","EUR European Euro",65000,Yearly,Assembly;C;C#;VBA,C#,SQLite,SQLite,NA,NA,Windows,"35-44 years old",Man,NA,"White or of European descent",70264
"Employed full-time",Bulgaria,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",25,15,"Developer, desktop or enterprise applications;Developer, full-stack;Engineering manager","100 to 499 employees","EUR European Euro",NA,Monthly,C#;C++;JavaScript;SQL,C#;Rust,"Microsoft SQL Server;SQLite","Microsoft SQL Server;SQLite",NA,NA,Windows,"35-44 years old",Man,NA,"White or of European descent",NA
"Student, full-time",Serbia,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",9,NA,NA,NA,NA,NA,NA,Bash/Shell;C#;HTML/CSS;PHP;SQL;VBA,Bash/Shell;C#;PHP;SQL;VBA,"Microsoft SQL Server;MySQL","Microsoft SQL Server",NA,NA,Windows,"18-24 years old",Man,NA,NA,NA
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",12,9,"Developer, front-end;Designer","10 to 19 employees","USD	United States dollar",NA,NA,HTML/CSS;JavaScript;Node.js,HTML/CSS;JavaScript;Node.js,NA,NA,Heroku,Heroku,MacOS,"25-34 years old",Man,"Prefer not to say","White or of European descent",NA
"Not employed, but looking for work",Kosovo,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",NA,NA,Student,NA,NA,NA,NA,Java;Python,NA,NA,NA,Heroku,NA,Linux-based,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Canada,"Associate degree (A.A., A.S., etc.)",44,34,"Developer, embedded applications or devices","10,000 or more employees","CAD	Canadian dollar",240000,Yearly,Assembly;Bash/Shell;C;Go;Python;Rust,Assembly;Bash/Shell;C;Go;Rust,NA,NA,NA,NA,MacOS,"55-64 years old",Man,"Straight / Heterosexual","White or of European descent",181515
"Employed full-time",Sweden,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",40,26,"Developer, back-end;Data or business analyst","I donâ€™t know","SEK	Swedish krona",66000,Monthly,Bash/Shell;Dart;HTML/CSS;JavaScript;Python,Haskell;Python,PostgreSQL;SQLite,PostgreSQL;Redis,Heroku,NA,Linux-based,"45-54 years old",Man,"Straight / Heterosexual","White or of European descent",81000
"Employed full-time","United States of America","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",22,22,"Engineer, data","20 to 99 employees","USD	United States dollar",105000,Yearly,Bash/Shell;HTML/CSS;Java;JavaScript;Python,Bash/Shell;HTML/CSS;JavaScript;Python,NA,NA,NA,NA,Windows,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",105000
"Employed full-time",Germany,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",20,5,"Developer, full-stack;DevOps specialist","1,000 to 4,999 employees","EUR European Euro",52000,Yearly,Bash/Shell;C#;Java;Kotlin;SQL;VBA,Go;Kotlin;Python;SQL,"Microsoft SQL Server;PostgreSQL",Elasticsearch;PostgreSQL;Redis,"IBM Cloud or Watson","AWS;IBM Cloud or Watson",MacOS,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",56211
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",10,7,"Developer, desktop or enterprise applications;Developer, QA or test","100 to 499 employees","GBP	Pound sterling",50000,Yearly,C#;PowerShell;Python,C#;C++;Python,"Microsoft SQL Server;SQLite",MongoDB;PostgreSQL;Redis,"Microsoft Azure","AWS;Microsoft Azure",Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",64630
"Employed full-time",Turkey,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",4,3,"Developer, back-end","100 to 499 employees","TRY	Turkish lira",18000,Monthly,Python,Java;Python;TypeScript,Elasticsearch;PostgreSQL;Redis,Elasticsearch;PostgreSQL;Redis,AWS;DigitalOcean,AWS;DigitalOcean,MacOS,"18-24 years old",Man,NA,"Middle Eastern",35508
"Employed full-time",Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",23,11,"Developer, full-stack;Developer, back-end","20 to 99 employees","EUR European Euro",60000,Yearly,Bash/Shell;HTML/CSS;JavaScript;Node.js;PHP;Rust;Scala;SQL;TypeScript,Kotlin;Node.js;PHP;Python;Rust;TypeScript,Elasticsearch;MariaDB;MongoDB;MySQL;SQLite,MariaDB;MongoDB,"AWS;Heroku;Microsoft Azure",AWS,Linux-based,"25-34 years old","Man;Non-binary, genderqueer, or gender non-conforming","Straight / Heterosexual","White or of European descent",64859
"Not employed, and not looking for work",Austria,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",6,NA,NA,NA,NA,NA,NA,C#;C++;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript,NA,PostgreSQL,NA,Heroku,NA,Windows,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Student, full-time",India,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3,NA,NA,NA,NA,NA,NA,C;C++;HTML/CSS;JavaScript;Python,C++;HTML/CSS;JavaScript;Python,MySQL;SQLite,"Firebase;IBM DB2;Microsoft SQL Server;MongoDB;MySQL;Oracle;SQLite",NA,NA,Windows,"18-24 years old",Man,"Straight / Heterosexual","South Asian",NA
Retired,Spain,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",NA,NA,NA,NA,NA,NA,NA,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript,MySQL,NA,NA,NA,MacOS,"55-64 years old","Prefer not to say","Prefer not to say","White or of European descent",NA
"Employed full-time",France,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",35,22,"Other (please specify):",NA,NA,NA,NA,Bash/Shell;HTML/CSS;JavaScript;Node.js;PowerShell;VBA,HTML/CSS;JavaScript;Node.js,NA,NA,"IBM Cloud or Watson","Microsoft Azure",Windows,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"I prefer not to say",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",5,NA,NA,NA,NA,NA,NA,C;C#;Dart;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Swift,C;C#;JavaScript;Node.js;Swift;TypeScript,Elasticsearch;Firebase;MongoDB;MySQL,Elasticsearch;MongoDB,"AWS;DigitalOcean;Google Cloud Platform",AWS,MacOS,"Prefer not to say","Prefer not to say","Prefer not to say","Prefer not to say",NA
"Employed full-time","United States of America","Associate degree (A.A., A.S., etc.)",6,6,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Engineer, site reliability;System administrator","1,000 to 4,999 employees","USD	United States dollar",115000,Weekly,Bash/Shell;C#;Go;Groovy;HTML/CSS;JavaScript;Node.js;PowerShell;Python;Rust;SQL;TypeScript,C#;F#;Haskell;HTML/CSS;PowerShell;Rust;TypeScript,"IBM DB2;MariaDB;Microsoft SQL Server;MySQL;SQLite","Microsoft SQL Server;PostgreSQL;SQLite",AWS;Heroku,"AWS;Heroku;Microsoft Azure",Windows,"25-34 years old","Prefer not to say","Prefer not to say","Prefer not to say",5750000
"Employed full-time","United States of America","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",14,10,"Developer, mobile","1,000 to 4,999 employees","USD	United States dollar",110000,Yearly,Objective-C;Ruby;Swift,Kotlin;Ruby;Rust;Swift,MySQL,MySQL,NA,NA,MacOS,"25-34 years old",Man,Bisexual,"White or of European descent",110000
"Independent contractor, freelancer, or self-employed",Romania,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",14,7,"Developer, full-stack","20 to 99 employees","EUR European Euro",5000,Monthly,HTML/CSS;JavaScript;TypeScript,Swift,MongoDB;MySQL;Redis,Firebase;PostgreSQL,DigitalOcean,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",64860
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",25,15,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end","2 to 9 employees","USD	United States dollar",120000,Yearly,C#;HTML/CSS;JavaScript;Kotlin;Node.js;Objective-C;PowerShell;SQL;TypeScript,C#;HTML/CSS;JavaScript;TypeScript,"Firebase;Microsoft SQL Server;Redis;SQLite","Firebase;Microsoft SQL Server","AWS;Microsoft Azure","AWS;Microsoft Azure",Windows,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",120000
"Employed full-time",Ukraine,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",5,3,"Developer, front-end","1,000 to 4,999 employees","UAH	Ukrainian hryvnia",NA,Monthly,HTML/CSS;JavaScript,HTML/CSS;JavaScript;TypeScript,Firebase;MongoDB,MySQL,NA,NA,MacOS,"25-34 years old",Woman,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Armenia,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",10,6,"Developer, full-stack;Developer, back-end","20 to 99 employees","AMD	Armenian dram",1300000,Monthly,C#;HTML/CSS;JavaScript;SQL,C#;Dart;SQL,"Microsoft SQL Server","Microsoft SQL Server;MongoDB;MySQL;PostgreSQL","Microsoft Azure",NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",32604
"Employed full-time",Bangladesh,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",7,"Less than 1 year","Engineer, data;Data scientist or machine learning specialist","100 to 499 employees","BDT	Bangladeshi taka",45000,Monthly,C;C++;PHP;Python,C;C++;Java;JavaScript;Node.js;Python;R;SQL,MongoDB;MySQL;Oracle;Redis,MongoDB;MySQL;Oracle;Redis,NA,NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","East Asian",6360
"Employed full-time",Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11,6,"Developer, full-stack","100 to 499 employees","EUR European Euro",45000,Yearly,Bash/Shell;HTML/CSS;JavaScript;PHP;PowerShell;Ruby;SQL;TypeScript,Bash/Shell;HTML/CSS;JavaScript;PHP;SQL;TypeScript,MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,Couchbase;MariaDB;MongoDB;MySQL;Redis,NA,NA,Windows,"18-24 years old",Man,"Gay or Lesbian","White or of European descent",48644
"Employed full-time",Brazil,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",10,15,"Developer, full-stack;Engineer, data;Database administrator;Data or business analyst;Designer","Just me - I am a freelancer, sole proprietor, etc.","USD	United States dollar",NA,Monthly,C#;HTML/CSS;JavaScript,C#;HTML/CSS;JavaScript,"Microsoft SQL Server","Microsoft SQL Server","Google Cloud Platform;Microsoft Azure","Google Cloud Platform",Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Independent contractor, freelancer, or self-employed",Japan,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",3,3,"Developer, front-end;Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.","JPY	Japanese yen",NA,NA,HTML/CSS;JavaScript;Node.js;Swift,Java;Kotlin;Python;TypeScript,Firebase;MySQL,MongoDB;Oracle;PostgreSQL;SQLite,"Google Cloud Platform",AWS;Heroku,MacOS,"25-34 years old",Man,NA,"East Asian",NA
"Employed full-time",Poland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",17,11,"Developer, back-end","10,000 or more employees","PLN	Polish zloty",18000,Monthly,C++;Java;JavaScript;Kotlin;Python;SQL,C++;Java;Swift,Elasticsearch;Oracle;Redis,NA,AWS,"AWS;Google Cloud Platform",Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",54672
"Student, full-time","United States of America",NA,5,NA,NA,NA,NA,NA,NA,Bash/Shell;HTML/CSS;Java;Rust;SQL,Crystal,PostgreSQL,NA,Heroku,NA,Linux-based,NA,Man,NA,NA,NA
"Employed full-time",Netherlands,"Associate degree (A.A., A.S., etc.)",6,4,"Developer, full-stack;Developer, back-end","10 to 19 employees","EUR European Euro",2750,Monthly,C#;HTML/CSS;JavaScript;Node.js;PHP;PowerShell;TypeScript,C#;HTML/CSS;JavaScript;Node.js;TypeScript,"Microsoft SQL Server;PostgreSQL","Microsoft SQL Server;PostgreSQL",NA,NA,Windows,"18-24 years old",Man,Bisexual,"White or of European descent",35676
"Employed full-time",Croatia,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",12,5,"Developer, front-end;Developer, full-stack;Developer, back-end","20 to 99 employees","HRK	Croatian kuna",NA,Monthly,C#;HTML/CSS;JavaScript,C#;HTML/CSS;JavaScript,MySQL,MySQL,"Microsoft Azure","Microsoft Azure",Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Romania,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",5,3,"DevOps specialist","100 to 499 employees","EUR European Euro",NA,NA,Bash/Shell;Python,Bash/Shell;Go;Python,Oracle,MySQL,"Google Cloud Platform","DigitalOcean;Google Cloud Platform",Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Canada,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",18,4,"Developer, back-end","100 to 499 employees","CAD	Canadian dollar",100000,Yearly,Go,Go;Python,Cassandra,Elasticsearch,NA,NA,MacOS,"25-34 years old",Man,"Straight / Heterosexual","Or, in your own words:",75631
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",6,1,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end","2 to 9 employees","USD	United States dollar",NA,NA,HTML/CSS;Node.js;Python;TypeScript,Swift,Firebase,MySQL,"Google Cloud Platform",AWS,MacOS,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Student, full-time","United Kingdom of Great Britain and Northern Ireland","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",17,NA,NA,NA,NA,NA,NA,C;C++;HTML/CSS;JavaScript;Julia;Node.js;Python;R;SQL;TypeScript,Python;TypeScript,MariaDB;MySQL;PostgreSQL;Redis;SQLite,MariaDB;PostgreSQL;Redis;SQLite,NA,NA,Linux-based,"25-34 years old",Man,"Prefer not to say","Prefer not to say",NA
"Student, part-time",Israel,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5,NA,NA,NA,NA,NA,NA,C;C++;HTML/CSS;Java;JavaScript,HTML/CSS;Java;JavaScript,NA,NA,NA,NA,Windows,"Under 18 years old",Man,"Straight / Heterosexual",NA,NA
"Employed full-time","United States of America","Some college/university study without earning a degree",41,39,"Developer, desktop or enterprise applications;Engineer, data;Database administrator;DevOps specialist;Designer;System administrator","100 to 499 employees","USD	United States dollar",70000,Yearly,Python,Python,"Microsoft SQL Server;MySQL;PostgreSQL;SQLite","Microsoft SQL Server",NA,NA,Windows,"65 years or older",Man,"Straight / Heterosexual","White or of European descent",70000
"Employed full-time",Germany,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",14,9,"Academic researcher","10,000 or more employees","EUR European Euro",54000,Yearly,LISP;PHP;Python;Scala;SQL,NA,MySQL;PostgreSQL;SQLite,NA,NA,NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",58373
"Employed full-time","United Republic of Tanzania","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",4,2,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;Engineer, site reliability","Just me - I am a freelancer, sole proprietor, etc.","TZS	Tanzanian shilling",NA,NA,Dart;Node.js;Python;SQL;TypeScript,Dart;Go;Kotlin;Node.js;Python;SQL;TypeScript,"Firebase;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite",MongoDB;MySQL;PostgreSQL;Redis,"AWS;Google Cloud Platform;Microsoft Azure","Google Cloud Platform;Microsoft Azure",Linux-based,"18-24 years old",Man,"Straight / Heterosexual","Black or of African descent",NA
"Employed full-time",Greece,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",4,3,"Developer, full-stack","2 to 9 employees","EUR European Euro",2000,Monthly,HTML/CSS;JavaScript;Node.js;PHP;SQL,JavaScript;Node.js;PHP;SQL,MySQL;Redis;SQLite,MongoDB;MySQL,AWS;DigitalOcean,"AWS;Microsoft Azure",Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",25944
"Employed full-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",4,2,"Developer, front-end;Developer, full-stack;Developer, back-end;Product manager","100 to 499 employees","INR	Indian rupee",400000,Yearly,HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript,HTML/CSS;Java;JavaScript;Python;SQL,MySQL;PostgreSQL,DynamoDB;Elasticsearch;MongoDB;MySQL;PostgreSQL,NA,NA,Linux-based,"18-24 years old",Man,"Straight / Heterosexual","I don't know",5585
"Employed full-time","United States of America","Some college/university study without earning a degree",15,4,"Developer, back-end","100 to 499 employees","USD	United States dollar",58000,Yearly,Bash/Shell;JavaScript;PHP;SQL,Bash/Shell;C#;Go;PHP;SQL;TypeScript,MySQL,NA,AWS;DigitalOcean,DigitalOcean,Windows,"25-34 years old",Woman,"Straight / Heterosexual","White or of European descent",58000
"Employed full-time",Germany,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",18,6,"Developer, full-stack;Developer, back-end;System administrator","20 to 99 employees","EUR European Euro",57000,Yearly,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;SQL,Assembly;C++;HTML/CSS;Java;JavaScript;SQL,Oracle;PostgreSQL,PostgreSQL,"AWS;Google Cloud Platform","Microsoft Azure",Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",61616
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",40,20,"Other (please specify):",NA,NA,NA,NA,Bash/Shell,NA,NA,NA,NA,NA,Windows,"55-64 years old",Man,"Straight / Heterosexual","White or of European descent",NA
